Date;Horse;Fin;Track;Distance;Sf;Race;Cnd;1st;2nd;3rd;Time
10/28/1973;Secretariat;1st;WO;1 5/8 m;T;Canadian International -G1;3+;Secretariat;Big Spruce;Golden Don;2:41.80
10/08/1973;Secretariat;1st;Bel;1 1/2m;T;Man O' War Stakes-G1;3+;Secretariat;Tentam;Big Spruce;2:24.80
09/29/1973;Secretariat;2nd;Bel;1 1/2m;D;Woodward-G1;3+;Prove Out;Secretariat;Cougar II;2:25.80
09/15/1973;Secretariat;1st;Bel;1 1/8 m;D;Marlboro Cup Invitational Handicap-G1;3+;Secretariat;Riva Ridge;Cougar II;1:45.40
08/04/1973;Secretariat;2nd;Sar;1 1/8 m;D;Whitney-G2;3+;Onion;Secretariat;Rule By Reason;1:49.20
06/30/1973;Secretariat;1st;AP;1 1/8 m;D;Arlington Invitational Stakes-G1;3+;Secretariat;My Gallant;Our Native;1:47.00
06/09/1973;Secretariat;1st;Bel;1 1/2m;D;Belmont Stakes-G1;3;Secretariat;Twice A Prince;My Gallant;2:24.00
05/19/1973;Secretariat;1st;Pim;1 3/16 m;D;Preakness Stakes-G1;3;Secretariat;Sham;Our Native;1:53.00
05/05/1973;Secretariat;1st;CD;1 1/4 m;D;Kentucky Derby-G1;3;Secretariat;Sham;Our Native;1:59.40
04/21/1973;Secretariat;3rd;Aqu;1 1/8 m;D;Wood Memorial-G1;3;Angle Light;Sham;Secretariat;1:49.80
04/07/1973;Secretariat;1st;Aqu;1 mile;D;Gotham-G2;3;Secretariat;Champagne Charlie;Flush;1:33.40
03/17/1973;Secretariat;1st;Aqu;7 f;D;Bay Shore-G3;3;Secretariat;Champagne Charlie;Impecunious;1:23.20
11/18/1972;Secretariat;1st;GS;1 1/16 m;D;Garden State Futurity;2;Secretariat;Angle Light;Step Nicely;1:44.24
10/28/1972;Secretariat;1st;Lrl;1 1/16 m;D;Laurel Futurity;2;Secretariat;Stop The Music;Angle Light;1:42.80
10/14/1972;Secretariat;2nd;Bel;1 mile;D;Champagne;2;Stop The Music;Secretariat;Step Nicely;1:35.00
09/16/1972;Secretariat;1st;Bel;6 1/2 f;D;Futurity;2;Secretariat;Stop The Music;Swift Courier;1:16.40
08/26/1972;Secretariat;1st;Sar;6 1/2 f;D;Hopeful;2;Secretariat;Flight To Glory;Stop The Music;1:16.20
08/16/1972;Secretariat;1st;Sar;6 f;D;Sanford;2;Secretariat;Linda's Chief;Northstar Dancer;1:10.00
07/31/1972;Secretariat;1st;Sar;6 f;D;Allow;2;Secretariat;Russ Miron;Joe Iz;1:10.80
07/15/1972;Secretariat;1st;Aqu;6 f;D;MSW;2;Secretariat;Master Achiever;Be On It;1:10.60
07/04/1972;Secretariat;4th;Aqu;5 1/2 f;D;MSW;2;Herbull;Master Achiever;Fleet N Royal;1:05.00
